Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MyBlog\src\AppHost\AppHost.csproj,File,MyBlog\src\AppHost\AppHost.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\ClearCommandAppFixture.cs,52,2,M:System.TimeSpan.FromMinutes(System.Int64),,,,,using var cts = new CancellationTokenSource(TimeSpan.FromMinutes(3));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\ClearCommandAppFixture.cs,38,2,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(""ASPNETCORE_ENVIRONMENT"", ""Testing"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\AspireManager.cs,166,4,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"await Task.Delay(TimeSpan.FromSeconds(1), cts.Token);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\AspireManager.cs,141,5,T:System.Uri,,,,,"var response = await client.GetAsync(new Uri(""/alive"", UriKind.Relative), cts.Token);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\AspireManager.cs,141,5,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"var response = await client.GetAsync(new Uri(""/alive"", UriKind.Relative), cts.Token);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\AspireManager.cs,123,2,T:System.Uri,,,,,using var client = new HttpClient(handler) { BaseAddress = endpoint };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\AspireManager.cs,110,3,T:System.Uri,,,,,"endpoint = App.GetEndpoint(""web"", ""https"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyBlog\tests\AppHost.Tests\AppHost.Tests.csproj,File,MyBlog\tests\AppHost.Tests\Infrastructure\AspireManager.cs,90,2,M:System.TimeSpan.FromSeconds(System.Int64),,,,,await WaitForWebHealthyAsync(TimeSpan.FromSeconds(180));
